Attribute,mean,sd,min,max
parent_age,34.633373934226555,4.538540320062381,23,56
age_months_at_test,23.57703706853214,13.048211590276127,0.5913757700205339,48
eng_spk,4.561510353227771,0.7794179560399914,1,5
fr_spk,4.243605359317905,1.1203652105650252,1,5
ol1_spk,4.325991189427313,1.0895381527214494,1,5
ol2_spk,3.764705882352941,1.296578015810692,1,5
ol3_spk,3.6031746031746033,1.2513177897550651,1,5
